lga_name,predicted_stress,lower_bound,upper_bound,uncertainty_score,confidence,target_stress_score,functionality_rate,total_stress_rate,avg_depth_m,area_km2,total_pop_served,ndvi,soil_moisture,elevation,slope,lst_celsius,heat_veg_stress,terrain_difficulty,drilling_difficulty,total_points
Aninri,0.2059,0.0453,0.3665,0.1606,Medium,0.187,55.17,44.83,49.21379310344828,291.63,11024,0.23158786,0.34586284,57,0.092998296,29.684827586206893,128.18,0.1115,4.577,29
Awgu,0.2245,0.0,0.4555,0.231,Medium,0.2103,62.5,37.5,51.875,448.85,3354,0.24774274,0.36531192,329,0.33493766,28.53857142857146,115.194,0.5365,17.375,8
EnuguEast,0.5585,0.0,1.0,0.6095,Low,0.603,0.0,100.0,8.1,329.74,573,0.16696084,0.22821431,171,0.40312755,30.538524590163945,182.908,0.4006,3.265,1
EnuguNorth,0.4992,0.231,0.7674,0.2682,Low,0.4922,40.0,60.0,19.14,157.35,2847,0.11147486,0.26052243,152,0.5083064,31.07620689655176,278.773,0.4358,9.729,5
EnuguSouth,0.5467,0.0795,1.0,0.4672,Low,0.5714,50.0,50.0,50.2,70.16,1312,0.11147486,0.26052243,152,0.5083064,31.07620689655176,278.773,0.4358,25.517,2
Ezeagu,0.1974,0.0722,0.3226,0.1252,High,0.1767,60.87,39.13,39.243478260869566,616.09,11355,0.24774057,0.2135696,47,0.17150804,29.956545454545505,120.919,0.1424,6.731,23
Igbo-Etiti,0.3729,0.0685,0.6773,0.3044,Low,0.3812,28.57,71.43,27.7,346.52,3400,0.2628435,0.2629428,459,0.34226555,28.072758620689683,106.804,0.682,9.481,7
Igbo-ezeNorth,0.2384,0.0977,0.3791,0.1407,High,0.2261,56.25,43.75,23.5625,328.61,7034,0.26630634,0.20419525,336,0.44957092,28.497118644067825,107.009,0.605,10.593,16
Igbo-ezeSouth,0.4969,0.224,0.7698,0.2729,Low,0.5107,30.77,69.23,22.115384615384617,183.96,6443,0.18801488,0.21873179,294,0.4319542,29.33561403508776,156.028,0.5499,9.553,13
Isi-Uzo,0.3542,0.1932,0.5152,0.161,Medium,0.3427,41.94,58.06,22.032258064516128,890.11,14444,0.20590948,0.2612783,172,0.30850887,29.55133333333339,143.516,0.3514,6.797,31
NkanuEast,0.2244,0.1815,0.2673,0.0429,High,0.2232,59.09,40.91,44.22727272727273,826.87,11072,0.23958562,0.36353546,111,0.27326846,29.289259259259325,122.25,0.2662,12.086,22
NkanuWest,0.249,0.0889,0.4091,0.1601,High,0.2434,66.67,33.33,53.15,274.42,3477,0.22750066,0.26483023,151,0.34393403,29.05535714285719,127.715,0.3474,18.28,6
Nsukka,0.3017,0.141,0.4624,0.1607,Medium,0.3126,66.67,33.33,13.666666666666666,496.45,4353,0.21468405,0.25588349,406,0.63614905,29.74606557377052,138.557,0.7805,8.694,9
Oji-River,0.2937,0.2282,0.3592,0.0655,High,0.3067,56.76,43.24,45.62432432432432,371.65,13734,0.24118638,0.24551836,132,0.73595303,28.448867924528315,117.954,0.5351,33.577,37
Udenu,0.2691,0.229,0.3092,0.0401,High,0.2662,70.59,29.41,19.188235294117646,250.14,6792,0.23170622,0.26992682,261,0.94038826,28.71593750000005,123.933,0.7843,18.044,17
Udi,0.383,0.2036,0.5624,0.1794,Medium,0.3984,52.38,47.62,31.666666666666668,920.75,9155,0.22142765,0.25796404,310,0.75317264,29.802413793103483,134.592,0.7381,23.85,21
Uzo-Uwani,0.3685,0.094,0.643,0.2745,Low,0.3371,51.11,48.89,20.55777777777778,898.66,19845,0.18741116,0.21758868,133,0.5874519,29.221320754717,155.921,0.4572,12.077,45
