feature,importance
elevation,0.0068225934427413775
drilling_difficulty,0.006992807269832339
terrain_difficulty,0.007911608262975394
point_density_per_km2,0.008372820013216282
soil_moisture,0.009046720435563359
infrastructure_gap,0.017754788774387277
avg_depth_m,0.01856950298288961
pct_contaminated,0.021610081722774135
slope,0.026018023014790583
lst_celsius,0.03703417943233849
borehole_ratio,0.039549613721353634
repair_burden,0.04160306165193536
soil_veg_index,0.06158741847164785
ndvi,0.07489084332575119
total_stress_rate,0.12750062019159084
functionality_rate,0.1587315102740939
heat_veg_stress,0.33600380701211846
