lga_name,ndvi,soil_moisture,elevation,slope,lst_celsius
Aninri,0.23158786,0.34586284,57,0.092998296,29.684827586206893
Awgu,0.24774274,0.36531192,329,0.33493766,28.53857142857146
EnuguEast,0.16696084,0.22821431,171,0.40312755,30.538524590163945
EnuguNorth,0.11147486,0.26052243,152,0.5083064,31.076206896551756
EnuguSouth,0.11147486,0.26052243,152,0.5083064,31.076206896551756
Ezeagu,0.24774057,0.2135696,47,0.17150804,29.956545454545505
Igbo-Etiti,0.2628435,0.2629428,459,0.34226555,28.072758620689683
Igbo-ezeNorth,0.26630634,0.20419525,336,0.44957092,28.497118644067825
Igbo-ezeSouth,0.18801488,0.21873179,294,0.4319542,29.33561403508776
Isi-Uzo,0.20590948,0.2612783,172,0.30850887,29.55133333333339
NkanuEast,0.23958562,0.36353546,111,0.27326846,29.289259259259325
NkanuWest,0.22750066,0.26483023,151,0.34393403,29.05535714285719
Nsukka,0.21468405,0.25588349,406,0.63614905,29.74606557377052
Oji-River,0.24118638,0.24551836,132,0.73595303,28.448867924528315
Udenu,0.23170622,0.26992682,261,0.94038826,28.71593750000005
Udi,0.22142765,0.25796404,310,0.75317264,29.802413793103483
Uzo-Uwani,0.18741116,0.21758868,133,0.5874519,29.221320754717
