lga_name,total_points,functional,non_functional,needs_repair,avg_depth_m,max_depth_m,total_pop_served,avg_pop_per_point,pct_contaminated,pct_acceptable,borehole_count,handpump_count,functionality_rate,infrastructure_gap,repair_burden,borehole_ratio,area_km2_x,point_density_per_km2,pop_density_served_km2,area_km2_y,area_km2,ndvi,soil_moisture,elevation,slope,lst_celsius,drilling_difficulty,heat_veg_stress,soil_veg_index,total_stress_rate,terrain_difficulty,target_stress_score
Aninri,29,16,6,7,49.213793103448275,77.3,11024,380.13793103448273,24.137931034482758,58.620689655172406,7,13,55.17,20.69,24.14,0.241,291.63,0.0994,37.8,291.63,291.63,0.23158786,0.34586284,57,0.092998296,29.684827586206893,4.577,128.18,0.0801,44.83,0.1115,0.187
Awgu,8,5,2,1,51.875,73.6,3354,419.25,12.5,62.5,4,2,62.5,25.0,12.5,0.5,448.85,0.0178,7.47,448.85,448.85,0.24774274,0.36531192,329,0.33493766,28.53857142857146,17.375,115.194,0.0905,37.5,0.5365,0.2103
EnuguEast,1,0,0,1,8.1,8.1,573,573.0,0.0,100.0,0,1,0.0,0.0,100.0,0.0,329.74,0.003,1.74,329.74,329.74,0.16696084,0.22821431,171,0.40312755,30.538524590163945,3.265,182.908,0.0381,100.0,0.4006,0.603
EnuguNorth,5,2,2,1,19.14,30.0,2847,569.4,20.0,60.0,3,1,40.0,40.0,20.0,0.6,157.35,0.0318,18.09,157.35,157.35,0.11147486,0.26052243,152,0.5083064,31.07620689655176,9.729,278.773,0.029,60.0,0.4358,0.4922
EnuguSouth,2,1,0,1,50.2,67.9,1312,656.0,50.0,0.0,1,0,50.0,0.0,50.0,0.5,70.16,0.0285,18.7,70.16,70.16,0.11147486,0.26052243,152,0.5083064,31.07620689655176,25.517,278.773,0.029,50.0,0.4358,0.5714
Ezeagu,23,14,6,3,39.243478260869566,80.0,11355,493.69565217391306,26.08695652173913,52.17391304347826,9,7,60.87,26.09,13.04,0.391,616.09,0.0373,18.43,616.09,616.09,0.24774057,0.2135696,47,0.17150804,29.956545454545505,6.731,120.919,0.0529,39.13,0.1424,0.1767
Igbo-Etiti,7,2,2,3,27.7,34.9,3400,485.7142857142857,14.285714285714285,57.14285714285714,2,4,28.57,28.57,42.86,0.286,346.52,0.0202,9.81,346.52,346.52,0.2628435,0.2629428,459,0.34226555,28.072758620689683,9.481,106.804,0.0691,71.43,0.682,0.3812
Igbo-ezeNorth,16,9,5,2,23.5625,35.0,7034,439.625,12.5,50.0,6,5,56.25,31.25,12.5,0.375,328.61,0.0487,21.41,328.61,328.61,0.26630634,0.20419525,336,0.44957092,28.497118644067825,10.593,107.009,0.0544,43.75,0.605,0.2261
Igbo-ezeSouth,13,4,6,3,22.115384615384617,34.6,6443,495.61538461538464,46.15384615384615,38.46153846153847,6,5,30.77,46.15,23.08,0.462,183.96,0.0707,35.02,183.96,183.96,0.18801488,0.21873179,294,0.4319542,29.33561403508776,9.553,156.028,0.0411,69.23,0.5499,0.5107
Isi-Uzo,31,13,10,8,22.032258064516128,34.9,14444,465.93548387096774,29.03225806451613,54.83870967741935,10,12,41.94,32.26,25.81,0.323,890.11,0.0348,16.23,890.11,890.11,0.20590948,0.2612783,172,0.30850887,29.55133333333339,6.797,143.516,0.0538,58.06,0.3514,0.3427
NkanuEast,22,13,6,3,44.22727272727273,77.6,11072,503.27272727272725,27.27272727272727,54.54545454545454,9,5,59.09,27.27,13.64,0.409,826.87,0.0266,13.39,826.87,826.87,0.23958562,0.36353546,111,0.27326846,29.289259259259325,12.086,122.25,0.0871,40.91,0.2662,0.2232
NkanuWest,6,4,1,1,53.15,69.0,3477,579.5,33.33333333333333,66.66666666666666,1,2,66.67,16.67,16.67,0.167,274.42,0.0219,12.67,274.42,274.42,0.22750066,0.26483023,151,0.34393403,29.05535714285719,18.28,127.715,0.0602,33.33,0.3474,0.2434
Nsukka,9,6,2,1,13.666666666666666,19.9,4353,483.6666666666667,22.22222222222222,55.55555555555556,2,4,66.67,22.22,11.11,0.222,496.45,0.0181,8.77,496.45,496.45,0.21468405,0.25588349,406,0.63614905,29.74606557377052,8.694,138.557,0.0549,33.33,0.7805,0.3126
Oji-River,37,21,10,6,45.62432432432432,78.0,13734,371.18918918918916,35.13513513513514,40.54054054054054,12,12,56.76,27.03,16.22,0.324,371.65,0.0996,36.95,371.65,371.65,0.24118638,0.24551836,132,0.73595303,28.448867924528315,33.577,117.954,0.0592,43.24,0.5351,0.3067
Udenu,17,12,4,1,19.188235294117646,29.2,6792,399.52941176470586,23.52941176470588,47.05882352941176,6,6,70.59,23.53,5.88,0.353,250.14,0.068,27.15,250.14,250.14,0.23170622,0.26992682,261,0.94038826,28.71593750000005,18.044,123.933,0.0625,29.41,0.7843,0.2662
Udi,21,11,8,2,31.666666666666668,77.3,9155,435.95238095238096,33.33333333333333,47.61904761904761,13,4,52.38,38.1,9.52,0.619,920.75,0.0228,9.94,920.75,920.75,0.22142765,0.25796404,310,0.75317264,29.802413793103483,23.85,134.592,0.0571,47.62,0.7381,0.3984
Uzo-Uwani,45,23,12,10,20.55777777777778,34.8,19845,441.0,28.888888888888886,51.11111111111111,19,13,51.11,26.67,22.22,0.422,898.66,0.0501,22.08,898.66,898.66,0.18741116,0.21758868,133,0.5874519,29.221320754717,12.077,155.921,0.0408,48.89,0.4572,0.3371
