system:index,elevation,lga_name,.geo
0_0,57,Aninri,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,329,Awgu,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,171,EnuguEast,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,152,EnuguNorth,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,152,EnuguSouth,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,47,Ezeagu,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,459,Igbo-Etiti,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,336,Igbo-ezeNorth,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,294,Igbo-ezeSouth,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,172,Isi-Uzo,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,111,NkanuEast,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,151,NkanuWest,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,406,Nsukka,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,132,Oji-River,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,261,Udenu,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,310,Udi,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,133,Uzo-Uwani,"{""type"":""MultiPoint"",""coordinates"":[]}"
