system:index,lga_name,ndvi,.geo
0_0,Aninri,0.23158786,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,Awgu,0.24774274,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,EnuguEast,0.16696084,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,EnuguNorth,0.11147486,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,EnuguSouth,0.11147486,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,Ezeagu,0.24774057,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,Igbo-Etiti,0.2628435,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,Igbo-ezeNorth,0.26630634,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,Igbo-ezeSouth,0.18801488,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,Isi-Uzo,0.20590948,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,NkanuEast,0.23958562,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,NkanuWest,0.22750066,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,Nsukka,0.21468405,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,Oji-River,0.24118638,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,Udenu,0.23170622,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,Udi,0.22142765,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,Uzo-Uwani,0.18741116,"{""type"":""MultiPoint"",""coordinates"":[]}"
