system:index,lga_name,slope,.geo
0_0,Aninri,0.092998296,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,Awgu,0.33493766,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,EnuguEast,0.40312755,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,EnuguNorth,0.5083064,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,EnuguSouth,0.5083064,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,Ezeagu,0.17150804,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,Igbo-Etiti,0.34226555,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,Igbo-ezeNorth,0.44957092,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,Igbo-ezeSouth,0.4319542,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,Isi-Uzo,0.30850887,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,NkanuEast,0.27326846,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,NkanuWest,0.34393403,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,Nsukka,0.63614905,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,Oji-River,0.73595303,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,Udenu,0.94038826,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,Udi,0.75317264,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,Uzo-Uwani,0.5874519,"{""type"":""MultiPoint"",""coordinates"":[]}"
