system:index,lga_name,soil_moisture,.geo
0_0,Aninri,0.34586284,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,Awgu,0.36531192,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,EnuguEast,0.22821431,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,EnuguNorth,0.26052243,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,EnuguSouth,0.26052243,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,Ezeagu,0.2135696,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,Igbo-Etiti,0.2629428,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,Igbo-ezeNorth,0.20419525,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,Igbo-ezeSouth,0.21873179,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,Isi-Uzo,0.2612783,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,NkanuEast,0.36353546,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,NkanuWest,0.26483023,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,Nsukka,0.25588349,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,Oji-River,0.24551836,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,Udenu,0.26992682,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,Udi,0.25796404,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,Uzo-Uwani,0.21758868,"{""type"":""MultiPoint"",""coordinates"":[]}"
